dataset: cLogicalConcBEasyNoisy-uniqueSamples.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.3561403508771933       49 (A5 = 1) and (A4 = 1) and (A1 = 1)
 0.2175438596491223        5 A5
 0.19649122807017502      50 num-of-N((A5 = 1) and (A4 = 1) and (A1 = 1))
 0.1421052631578945       22 A2 xor A3
 0.1421052631578945        8 A2 equ A3
 0.13859649122806997       2 A2
 0.1350877192982454       21 A4 xor A5
 0.1350877192982454        7 A4 equ A5
 0.12631578947368405       3 A3
 0.11403508771929811      23 A1 xor A2
 0.11403508771929811       9 A1 equ A2
 0.1087719298245613       32 A1 xor A5
 0.1087719298245613       18 A1 equ A5
 0.10526315789473674      46 A1 impl A5
 0.10350877192982447       4 A4
 0.08947368421052627      30 A2 xor A5
 0.08947368421052627      16 A2 equ A5
 0.08245614035087719      15 A1 equ A4
 0.08245614035087719      29 A1 xor A4
 0.08245614035087717      35 A4 impl A5
 0.07719298245614035       1 A1
 0.07543859649122808      39 A5 impl A6
 0.07017543859649125      13 A3 equ A5
 0.07017543859649125      44 A2 impl A5
 0.07017543859649125      27 A3 xor A5
 0.05964912280701757      36 A2 impl A3
 0.05964912280701757      33 A2 xor A6
 0.05964912280701757      19 A2 equ A6
 0.05964912280701757      41 A3 impl A5
 0.054385964912280725     38 A3 impl A4
 0.05087719298245615      43 A1 impl A4
 0.047368421052631594     25 A5 xor A6
 0.047368421052631594     11 A5 equ A6
 0.045614035087719315     14 A2 equ A4
 0.045614035087719315     28 A2 xor A4
 0.040350877192982464     37 A1 impl A2
 0.038596491228070184     42 A2 impl A4
 0.038596491228070184     26 A1 xor A3
 0.038596491228070184     12 A1 equ A3
 0.03333333333333334      47 A2 impl A6
 0.03157894736842106      48 A1 impl A6
 0.029824561403508778     10 A3 equ A4
 0.029824561403508778     24 A3 xor A4
 0.021052631578947368     45 A3 impl A6
 0.012280701754385963     31 A3 xor A6
 0.012280701754385963     17 A3 equ A6
 0.005263157894736842      6 A6
 0.0017543859649122803    34 A1 xor A6
 0.0017543859649122803    20 A1 equ A6
-0.00000000000000000341   40 A1 impl A3


								--------------
									Fold  2
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.34912   49 (A5 = 1) and (A4 = 1) and (A1 = 1)
 0.20877   50 num-of-N((A5 = 1) and (A4 = 1) and (A1 = 1))
 0.17719    5 A5
 0.16316    2 A2
 0.15439   22 A2 xor A3
 0.15439    8 A2 equ A3
 0.15088   18 A1 equ A5
 0.15088   32 A1 xor A5
 0.14035   46 A1 impl A5
 0.13509    3 A3
 0.12632   21 A4 xor A5
 0.12632    7 A4 equ A5
 0.11404    4 A4
 0.10877   15 A1 equ A4
 0.10877   29 A1 xor A4
 0.08947    1 A1
 0.08421   23 A1 xor A2
 0.08421    9 A1 equ A2
 0.08246   43 A1 impl A4
 0.07018   12 A1 equ A3
 0.07018   16 A2 equ A5
 0.07018   26 A1 xor A3
 0.07018   30 A2 xor A5
 0.06667   13 A3 equ A5
 0.06667   27 A3 xor A5
