dataset: Heart.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.266255     840 num-of-N((A12 >= 1) and (A3 >= 4) and (A2 >= 1))
 0.266255     851 num-of-N((A3 >= 4) and (A12 >= 1) and (A2 >= 1))
 0.253498     811 num-of-N((A3 >= 4) and (A12 >= 1))
 0.253498     850 num-of-N((A12 >= 1) and (A3 >= 4))
 0.25144      718 A3_x_A12
 0.244444     700 A2_x_A12
 0.236214     702 A2_x_A3
 0.23251      812 num-of-N((A13 >= 7) and (A3 >= 4))
 0.23251      826 num-of-N((A3 >= 4) and (A13 >= 7))
 0.225103     802 num-of-N((A13 >= 6) and (A3 >= 4))
 0.223457     719 A3_x_A13
 0.220988      42 A3==B2of2 and A12==B2of2
 0.220988     783 (A12 >= 1) and (A3 >= 4)
 0.220988     741 (A3 >= 4) and (A12 >= 1)
 0.219342     824 num-of-N((A3 >= 4) and (A2 >= 1))
 0.217695     800 num-of-N((A12 >= 1) and (A11 >= 2) and (A13 >= 6))
 0.215638     717 A3_x_A11
 0.214815     206 A2==B2of2 impl A12==B2of2
 0.214815     676 A12_x_A13
 0.214403     822 num-of-N((A12 >= 1) and (A13 >= 6))
 0.214403     852 num-of-N((A13 >= 6) and (A12 >= 1))
 0.2107       685 A3_x_A8
 0.209465     712 A9_x_A12
 0.204115     703 A11_x_A12
 0.200412     797 num-of-N((A8 <= 147) and (A3 >= 4))
 0.199177     118 A2==B2of2 equ A12==B2of2
 0.199177     165 A2==B2of2 xor A12==B2of2
 0.195473     701 A2_x_A13
 0.195062     688 A3_x_A10
 0.192181     687 A3_x_A9
 0.189712     773 (A12 >= 1) and (A3 >= 4) and (A2 >= 1)
 0.189712     784 (A3 >= 4) and (A12 >= 1) and (A2 >= 1)
 0.189712     858 num-of-N((A12 >= 1) and (A11 >= 2))
 0.189712     251 A2==B2of2 and A3==B2of2 and A12==B2of2
 0.183128     855 num-of-N((A3 >= 4) and (A13 >= 7) and (A10 >= 0.8))
 0.183128     807 num-of-N((A13 >= 7) and (A3 >= 4) and (A10 >= 0.8))
 0.181893     839 num-of-N((A11 >= 2) and (A13 >= 7) and (A3 >= 2) and (A10 >= 0.9))
 0.18107      721 A1_x_A12
 0.180247     689 A10_x_A12
 0.179424     144 A3==B2of2 xor A5
 0.179424     143 A3==B2of2 xor A4
 0.179424     190 A3==B2of2 impl A4
 0.179424     166 A2==B2of2 xor A13==B2of2
 0.179424     167 A2==B2of2 xor A3==B2of2
 0.179424     191 A3==B2of2 impl A5
 0.179424     761 (A3 >= 4)
 0.179424     678 A3_x_A4
 0.179424      49 A3==B2of2 or A4
 0.179424     119 A2==B2of2 equ A13==B2of2
 0.179424      96 A3==B2of2 equ A4
 0.179424      97 A3==B2of2 equ A5
 0.179424     323 A3==B2of2 or A4 or A5
 0.179424     679 A3_x_A5
 0.179424      50 A3==B2of2 or A5
 0.179424     120 A2==B2of2 equ A3==B2of2
 0.178601     354 A5 or A10==B2of2 or A12==B2of2
 0.178601     383 A4 or A10==B2of2 or A12==B2of2
