dataset: baskball.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.1103628     178 height==(-inf-168.2] equ time_played==(21.86-27.75]
 0.1103628      78 height==(-inf-168.2] or time_played==(21.86-27.75]
 0.1103628     278 height==(-inf-168.2] xor time_played==(21.86-27.75]
 0.1066193     183 height==(168.2-176.4] equ time_played==(21.86-27.75]
 0.1066193     283 height==(168.2-176.4] xor time_played==(21.86-27.75]
 0.1066193      83 height==(168.2-176.4] or time_played==(21.86-27.75]
 0.1043704     615 assists_per_minute==(0.28484-inf) or height==(-inf-168.2] or time_played==(21.86-27.75]
 0.1031615     240 time_played==(21.86-27.75] equ age==(34-inf)
 0.1031615     140 time_played==(21.86-27.75] or age==(34-inf)
 0.1031615     340 time_played==(21.86-27.75] xor age==(34-inf)
 0.1018606     438 time_played==(21.86-27.75] impl age==(34-inf)
 0.1006268     620 assists_per_minute==(0.28484-inf) or height==(168.2-176.4] or time_played==(21.86-27.75]
 0.0958681     273 assists_per_minute==(0.28484-inf) equ time_played==(21.86-27.75]
 0.0958681     373 assists_per_minute==(0.28484-inf) xor time_played==(21.86-27.75]
 0.0958681     173 assists_per_minute==(0.28484-inf) or time_played==(21.86-27.75]
 0.091457      139 time_played==(21.86-27.75] or age==(31-34]
 0.0899563     339 time_played==(21.86-27.75] xor age==(31-34]
 0.0899563     239 time_played==(21.86-27.75] equ age==(31-34]
 0.0884614     580 assists_per_minute==(0.16712-0.22598] or height==(184.6-192.8] or time_played==(21.86-27.75]
 0.0883464     188 height==(176.4-184.6] equ time_played==(21.86-27.75]
 0.0883464     288 height==(176.4-184.6] xor time_played==(21.86-27.75]
 0.0844084     434 time_played==(21.86-27.75] impl age==(-inf-25]
 0.0824182      88 height==(176.4-184.6] or time_played==(21.86-27.75]
 0.076947      625 assists_per_minute==(0.28484-inf) or height==(176.4-184.6] or time_played==(21.86-27.75]
 0.0738207     437 time_played==(21.86-27.75] impl age==(31-34]
 0.0713357     515 assists_per_minute==(-inf-0.10826] or height==(-inf-168.2] or time_played==(21.86-27.75]
 0.06991        50 time_played==(27.75-33.64] and age==(28-31]
 0.0675922     520 assists_per_minute==(-inf-0.10826] or height==(168.2-176.4] or time_played==(21.86-27.75]
 0.0654275     138 time_played==(21.86-27.75] or age==(28-31]
 0.0640874     268 assists_per_minute==(0.22598-0.28484] equ time_played==(21.86-27.75]
 0.0640874     368 assists_per_minute==(0.22598-0.28484] xor time_played==(21.86-27.75]
 0.0638506     595 assists_per_minute==(0.22598-0.28484] or height==(168.2-176.4] or time_played==(21.86-27.75]
 0.0631331     630 assists_per_minute==(0.28484-inf) or height==(184.6-192.8] or time_played==(21.86-27.75]
 0.0631331      93 height==(184.6-192.8] or time_played==(21.86-27.75]
 0.0628335     153 assists_per_minute==(-inf-0.10826] or time_played==(21.86-27.75]
 0.0623296     555 assists_per_minute==(0.10826-0.16712] or height==(184.6-192.8] or time_played==(21.86-27.75]
 0.0616194     436 time_played==(21.86-27.75] impl age==(28-31]
 0.059613      397 height==(192.8-inf) impl time_played==(21.86-27.75]
