dataset: Balance scale.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.3274    141 num-of-N((right-weight <= 2) and (left-distance >= 3) and (left-weight >= 3))
 0.3176    126 num-of-N((left-distance >= 3) and (right-weight <= 2) and (left-weight >= 2))
 0.3082    135 num-of-N((right-distance <= 2) and (left-weight >= 3) and (left-distance >= 2))
 0.3032    129 num-of-N((right-weight <= 1) and (left-weight >= 2) and (left-distance >= 3))
 0.256     127 num-of-N((left-distance >= 3) and (left-weight >= 3))
 0.2542     85 left-weight_x_left-distance
 0.2528    138 num-of-N((left-distance >= 3) and (right-weight <= 2))
 0.2522     88 left-distance_x_right-distance
 0.2501    144 num-of-N((left-weight >= 4) and (right-weight <= 3) and (left-distance >= 2))
 0.2501    145 num-of-N((left-weight >= 4) and (left-distance >= 2) and (right-weight <= 3))
 0.2485     87 left-distance_x_right-weight
 0.2449     86 right-weight_x_right-distance
 0.2404    123 num-of-N((right-distance <= 1) and (left-distance >= 3))
 0.2394    150 num-of-N((right-distance <= 2) and (left-weight >= 3))
 0.2364    131 num-of-N((right-weight <= 2) and (left-weight >= 3))
 0.2354     76 left-distance LESSTHAN right-distance
 0.235      90 left-weight_x_right-distance
 0.2324    132 num-of-N((right-distance <= 2) and (left-distance >= 2))
 0.2318     89 left-weight_x_right-weight
 0.2318    130 num-of-N((right-weight <= 1) and (right-distance <= 2))
 0.226     136 num-of-N((left-distance >= 4) and (left-weight >= 4) and (right-distance <= 3))
 0.223       5 left-weight==B2of2 and left-distance==B2of2
 0.223      95 (left-distance >= 3) and (left-weight >= 3)
 0.2222     75 left-distance LESSTHAN right-weight
 0.2218    151 num-of-N((left-distance >= 2) and (right-weight <= 1))
 0.2202    134 num-of-N((right-distance <= 2) and (left-weight >= 2))
 0.2201     77 left-weight LESSTHAN right-weight
 0.22       17 left-weight==B2of2 equ left-distance==B2of2
 0.22       23 left-weight==B2of2 xor left-distance==B2of2
 0.2173    143 num-of-N((left-distance >= 3) and (right-distance <= 3))
 0.2156     18 right-weight==B2of2 equ right-distance==B2of2
 0.2156     24 right-weight==B2of2 xor right-distance==B2of2
 0.214     152 num-of-N((left-distance >= 2) and (right-distance <= 1))
 0.214     140 num-of-N((right-distance <= 1) and (left-distance >= 2))
 0.2117     20 left-distance==B2of2 equ right-distance==B2of2
 0.2117     26 left-distance==B2of2 xor right-distance==B2of2
 0.2116    149 num-of-N((left-distance >= 4) and (left-weight >= 3))
 0.2081     19 left-distance==B2of2 equ right-weight==B2of2
 0.2081     25 left-distance==B2of2 xor right-weight==B2of2
 0.207     137 num-of-N((left-weight >= 2) and (right-weight <= 1))
 0.2067      6 right-weight==B2of2 and right-distance==B2of2
 0.2044     78 left-weight LESSTHAN right-distance
 0.1962     28 left-weight==B2of2 xor right-distance==B2of2
 0.1962     22 left-weight==B2of2 equ right-distance==B2of2
 0.1952    100 (right-distance <= 2) and (left-distance >= 2)
 0.1938     21 left-weight==B2of2 equ right-weight==B2of2
 0.1938     27 left-weight==B2of2 xor right-weight==B2of2
