FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;92,59;88,89;88,89;88,89;92,59;88,89
Fold2;74,07;70,37;74,07;70,37;70,37;74,07;74,07
Fold3;92,59;81,48;92,59;81,48;85,19;81,48;81,48
Fold4;81,48;77,78;81,48;66,67;81,48;77,78;81,48
Fold5;66,67;66,67;66,67;66,67;85,19;66,67;66,67
Fold6;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold7;77,78;74,07;77,78;74,07;81,48;74,07;74,07
Fold8;76,92;73,08;76,92;76,92;76,92;73,08;76,92
Fold9;76,92;80,77;76,92;80,77;76,92;76,92;76,92
Fold10;65,38;73,08;65,38;73,08;80,77;73,08;73,08
